,标题,学校,门类/专业,招生人数,发布时间,链接
46,石家庄铁道大学交通信息技术课题组招收非定向博士生,石家庄铁道大学,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2019-12-17 17:41,http://muchong.com/t-13805427-1
47,路易维尔大学计算机科学与工程博士全奖,,工学 -> 计算机科学与技术  ,2,2019-10-19 08:50,http://muchong.com/t-13702241-1
48,华南先进光电子研究院光学脑成像课题组招收光学及心理学相关调剂,华南师范大学,工学 -> 计算机科学与技术  -> 应用心理学,2,2019-03-06 15:29,http://muchong.com/t-13246082-1
49,安徽师大接收调剂研究生,安徽师大,工学 -> 计算机科学与技术  -> 计算机应用技术,10,2019-03-02 16:42,http://muchong.com/t-13234305-1
50,2019考验调剂，网络信息安全,华侨大学,工学 -> 计算机科学与技术  -> 计算机应用技术,3,2019-02-18 19:23,http://muchong.com/t-13191076-1
51,福建师范大学计算机类学硕研究生调剂生,福建师范大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2019-01-28 21:01,http://muchong.com/t-13156489-1
52,太原理工大学智能成像光学实验室招收一志愿及调剂生,太原理工,工学 -> 计算机科学与技术  ,20,2019-01-28 07:52,http://muchong.com/t-13155369-1
53,武汉轻工大学 数学与计算机学院 2019年研究生招生,武汉工大,工学 -> 计算机科学与技术  -> 计算机应用技术,70,2018-09-03 13:32,http://muchong.com/t-12581862-1
54,福建师范大学数学与信息学院肖如良教授教授招收调剂生,福建师范大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2018-03-14 00:08,http://muchong.com/t-12153950-1
55,华侨大学计算机学院王田教授课题组招收调剂研究生,华侨大学,工学 -> 计算机科学与技术  ,6,2018-02-04 09:35,http://muchong.com/t-12027010-1
56,福建农林大学计算机科学与技术硕士研究生仍有调剂名额,福建农林大学,工学 -> 计算机科学与技术  ,20,2017-03-02 21:57,http://muchong.com/t-11115993-1
